LOC	Management	Herbaceous biomass (kg ha -1)	Shannon Index	Woody Cover (%)	Crude Proteine (%)	Ash Content (%)	Relative Feed Value
SanRoman	B	-32.28017495	-24.85445589	0	2.747321379	17.09363297	-25.53667669
SanRoman	B	-72.82106978	-26.72744722	0	10.35585453	-9.424931042	-8.662364278
SanRoman	C	-75.41375682	-41.32575758	1	-4.694264643	-3.688096367	-2.14135203
SanRoman	C	-79.19578649	-2.201386058	24	-29.89456568	8.912727327	-14.87532505
SanRoman	C	-90.03161222	-34.3402932	23	-28.52653548	-13.5455449	-15.72496344
SanRoman	C	-42.26350343	5.497771174	10	-21.15259246	-0.973668096	-24.13497496
SanRoman	C	-54.51449225	-6.918238994	8	-11.91097654	-11.15621752	-20.79924992
SanRoman	C	-29.33025404	-13.39472583	14	-20.62962754	1.039458546	-28.37361091
SanRoman	C	-44.07505609	-10.13151486	0	-19.40480152	-6.154572873	-22.74691112
SanRoman	C	-33.9892264	-12.09800919	-2	-9.661132047	4.011488712	-16.70180518
SanRoman	C	-74.06583339	3.979591837	0	-26.60232329	-17.00010329	-9.633192585
SanRoman	D	-55.92580433	-17.41198858	0	-9.806091864	-4.135863664	-6.522078951
SanRoman	D	-65.26202053	-5.585585586	0	41.09889652	14.25038437	18.58938842
SanRoman	D	-57.74381001	-3.682983683	0	2.013321039	42.03896376	15.45152126
SanRoman	D	-25.46745152	4.0408732	2	-2.596365177	7.024131263	-13.91158533
SanRoman	D	-83.51016497	2.771467515	-2	-10.11106582	-13.70793354	12.47793198
SanRoman	D	-59.40071417	16.6842661	1	13.26595592	43.65116188	2.851157236
SanRoman	D	-82.37137203	-10.34308779	0	-5.616118205	-8.184072159	3.70595241
SanRoman	D	-68.47192268	-0.796107917	0	-0.208171641	20.7401252	-1.463329452
SanRoman	D	-62.58943448	-8.174386921	0	-12.24202108	-1.771377494	1.024971834
SanRoman	CONTROL	125.5628384	-19.40035273	7	-15.17737869	21.93077424	-17.03454895
SanRoman	CONTROL	6.919518964	-6.952965235	-2	-17.89021549	-7.619682785	-30.40425177
SanRoman	CONTROL	NA	-5.724600309	12	NA	NA	NA
SanRoman	CONTROL	-18.58754291	-45.14395393	10	-14.62383271	10.12463086	-18.9403087
SanRoman	CONTROL	89.07412921	-37.57425743	15	-23.72701734	-15.57016635	-23.99972423
SanRoman	CONTROL	-21.30630631	-7.115963855	-9	-11.8457737	15.99920514	-22.05403717
SanRoman	CONTROL	101.0986386	-13.62790698	-8	-17.45905492	20.88619784	-29.65337727
SanRoman	CONTROL	215.9186536	-17.64928193	4	-29.98569544	19.0889176	-23.27397752
SanRoman	CONTROL	94.46432832	-17.93814433	-1	-9.231129166	58.78672313	-15.816044
Garcipollera	A	291.3282863	-1.923831959	23	-23.1401809	43.62250852	46.17947462
Garcipollera	A	43.98907104	24.09985598	16	-9.314053792	65.8723427	66.86294517
Garcipollera	A	-46.49625386	38.47368421	13	-16.99370622	31.52079984	59.25751815
Garcipollera	A	74.22252937	39.33161954	23	-14.87054022	44.47032507	26.49417777
Garcipollera	A	57.14710253	29.00696864	14	-22.7630812	104.7770629	89.14116614
Garcipollera	A	171.728972	45.5261677	21	-33.93067412	27.69087194	39.17376983
Garcipollera	A	69.42760943	23.96204033	13	-34.74640653	62.32581139	-0.244340296
Garcipollera	A	497.6047904	14.61461461	39	-33.56254629	48.42450225	27.3128311
Garcipollera	A	118.6138614	-0.340280732	12	-37.64141704	72.29670953	21.29600611
Garcipollera	B	163.2695292	8.431771894	6	-8.632311096	-14.82432877	24.44617598
Garcipollera	B	132.2222222	10.28873526	10	-10.74301285	-1.472044609	36.8256798
Garcipollera	B	338.2556987	24.61474386	13	-19.86047673	-37.0625253	15.33535667
